temp_mean,precipitation,wind_speed,raceId
17.3,13.2,13.4,827
14.5,0.0,13.8,828
13.8,0.2,9.5,829
18.1,0.0,13.6,830
20.8,0.0,6.6,831
13.6,0.0,11.3,832
11.2,0.0,20.4,833
20.4,0.0,17.3,834
20.2,4.4,12.6,835
18.6,0.0,6.1,836
14.9,0.0,16.0,837
19.9,0.0,11.8,838
18.4,0.0,7.9,839
15.5,0.0,14.0,841
25.0,31.2,7.4,842
14.1,0.0,10.9,843
11.0,0.0,15.4,844
20.0,0.0,13.8,845
19.3,0.0,8.2,846
15.3,23.5,18.7,847
25.8,0.0,18.5,848
15.5,0.6,11.4,849
9.4,7.1,20.1,850
15.8,1.9,21.6,851
12.2,0.5,24.2,852
22.8,0.1,6.6,853
27.3,2.6,12.0,854
17.6,0.0,9.9,855
17.1,0.1,26.3,856
22.4,0.0,9.0,857
22.7,0.0,12.7,858
19.5,14.4,13.5,859
17.3,0.0,15.6,860
25.8,9.9,10.1,861
15.4,0.0,12.0,862
24.0,0.0,16.8,863
18.5,2.1,13.3,864
18.2,3.3,8.7,865
20.1,0.0,8.4,866
25.6,0.0,19.8,867
14.7,13.0,15.1,868
15.3,0.0,13.4,869
24.7,7.1,13.2,870
13.3,0.0,8.5,871
21.4,0.0,6.4,872
26.8,5.9,10.6,873
20.3,0.0,17.6,874
17.4,0.0,17.7,875
21.1,0.0,9.5,876
27.9,0.0,21.7,877
14.5,0.0,14.6,878
17.9,16.2,22.4,879
14.7,0.9,28.9,880
26.2,6.3,8.7,881
17.7,0.0,20.9,882
25.4,0.0,39.5,883
14.9,2.3,15.2,884
13.9,0.0,10.7,885
18.0,0.3,19.9,886
16.5,0.0,25.2,887
17.9,0.0,14.7,888
28.1,0.0,16.6,890
14.8,2.7,11.4,891
21.0,8.2,14.2,892
28.2,1.7,16.4,893
22.3,2.7,21.2,894
19.5,0.0,19.3,895
23.9,0.0,12.3,896
